Cu Chulainn,Talaria Boots,Bulwark of Hope,Sovereignty,Hydra's Lament,The Executioner,Shogun's Kusari
Hercules,Ninja Tabi,Sovereignty,Frostbound Hammer,Malice,Hide of the Nemean Lion,Qin's Sais
Cupid,Warrior Tabi,Spirit Robe,Hide of the Nemean Lion,Pestilence,Atalanta's Bow,Spirit Robe
Achilles,Warrior Tabi,Odysseus' Bow,Masamune,Silverbranch Bow,Wind Demon,Midgardian Mail
Sylvanus,Shoes of Focus,Lotus Crown,Stone of Binding,Demonic Grip,Spear of the Magus,Lotus Crown
Hou Yi,Ninja Tabi,Shogun's Kusari,Odysseus' Bow,The Executioner,Blackthorn Hammer,Magi's Cloak
Aphrodite,Shoes of Focus,Spectral Armor,Mantle of Discord,Soul Reaver,Jade Emperor's Crown,Midgardian Mail
Ah Muzen Cab,Reinforced Greaves,Void Shield,Shield of Regrowth,Bumba's Mask,Breastplate of Valor,Midgardian Mail
Hercules,Ninja Tabi,Heartward Amulet,Spectral Armor,Toxic Blade,Stone of Gaia,Hydra's Lament
Geb,Travelers Shoes,Book of Thoth,Dynasty Plate Helm,Midgardian Mail,Stone of Fal,Spirit Robe
Zeus,Shoes of Focus,Bulwark of Hope,Spear of the Magus,Witchblade,Doom Orb,Contagion
Thoth,Shoes of Focus,Book of Thoth,Emperor's Armor,Genji's Guard,Telkhines Ring,Gem of Isolation
Izanami,Talaria Boots,Hide of the Nemean Lion,Ancile,Frostbound Hammer,Silverbranch Bow,The Executioner
Baron Samedi,Travelers Shoes,Stone of Fal,Ethereal Staff,Hastened Ring,Stone of Binding,Soul Gem
Nox,Reinforced Shoes,Spirit Robe,Pestilence,Oni Hunter's Garb,Toxic Blade,Ethereal Staff
Athena,Reinforced Shoes,Typhon's Fang,Bumba's Mask,Sovereignty,Book of Thoth,Stone of Fal
Kumbhakarna,Shoes of the Magi,Pestilence,Spear of the Magus,Rangda's Mask,Spear of the Magus,Mantle of Discord
Ao Kuang,Travelers Shoes,Doom Orb,Winged Blade,Book of the Dead,Pythagorem's Piece,Warlock's Staff
Isis,Shoes of the Magi,Celestial Legion Helm,Hide of the Nemean Lion,Sovereignty,Polynomicon,Bumba's Mask
Achilles,Reinforced Greaves,Hastened Katana,Talisman of Energy,Relic Dagger,Hastened Katana,Gauntlet of Thebes
Pele,Reinforced Greaves,Poisoned Star,Rage,Runeforged Hammer,Frostbound Hammer,Spectral Armor
Kuzenbo,Shoes of the Magi,Gem of Isolation,Oni Hunter's Garb,Breastplate of Valor,Bancroft's Talon,Celestial Legion Helm
Anhur,Warrior Tabi,Contagion,Pestilence,Wind Demon,Mantle of Discord,Gauntlet of Thebes
Bakasura,Reinforced Greaves,Jotunn's Wrath,Berserker's Shield,Runic Shield,Silverbranch Bow,Bumba's Mask
Sobek,Shoes of the Magi,Breastplate of Valor,Bancroft's Talon,Polynomicon,Hide of the Nemean Lion,Gem of Isolation
Izanami,Talaria Boots,Mystical Mail,Pridwen,Bulwark of Hope,Qin's Sais,Transcendence
Cu Chulainn,Reinforced Greaves,Shogun's Kusari,Shifter's Shield,Hide of the Urchin,Rangda's Mask,The Crusher
Jormungandr,Travelers Shoes,Hastened Ring,Soul Reaver,Jade Emperor's Crown,Staff Of Myrddin,Emperor's Armor
Cabrakan,Shoes of Focus,Spirit Robe,Breastplate of Valor,Ethereal Staff,Shogun's Kusari,Stone of Binding
Xing Tian,Travelers Shoes,Shogun's Kusari,Hastened Ring,Telkhines Ring,Mail of Renewal,Polynomicon
Apollo,Reinforced Greaves,Gladiator's Shield,Relic Dagger,Pridwen,Mystical Mail,Poisoned Star
Zeus,Reinforced Shoes,Warlock's Staff,Contagion,Relic Dagger,Soul Gem,Lotus Crown
Scylla,Travelers Shoes,Hide of the Nemean Lion,Sovereignty,Shaman's Ring,Mystical Mail,Relic Dagger
Tyr,Warrior Tabi,Frostbound Hammer,Rangda's Mask,Blackthorn Hammer,The Executioner,Shifter's Shield
Thoth,Shoes of Focus,Winged Blade,Contagion,Mystical Mail,Jade Emperor's Crown,Celestial Legion Helm
Awilix,Warrior Tabi,Magi's Cloak,Contagion,Rage,Qin's Sais,Bulwark of Hope
Ao Kuang,Shoes of Focus,Spectral Armor,Pythagorem's Piece,Hastened Ring,Lotus Crown,Oni Hunter's Garb
Sun Wukong,Ninja Tabi,Talisman of Energy,Heartward Amulet,Pridwen,Poisoned Star,Golden Blade
Jing Wei,Talaria Boots,Runeforged Hammer,Talisman of Energy,Atalanta's Bow,Lono's Mask,Genji's Guard
Hera,Travelers Shoes,Lotus Crown,Book of Thoth,Spectral Armor,Oni Hunter's Garb,Sovereignty
Scylla,Travelers Shoes,Sovereignty,Gem of Isolation,Heartward Amulet,Demonic Grip,Soul Reaver
Chaac,Reinforced Greaves,The Crusher,Hide of the Urchin,Poisoned Star,Bulwark of Hope,Poisoned Star
Merlin,Travelers Shoes,Lotus Crown,Polynomicon,Typhon's Fang,Ethereal Staff,Gem of Isolation
Erlang Shen,Talaria Boots,Relic Dagger,Masamune,Devourer's Gauntlet,Poisoned Star,Transcendence
Loki,Talaria Boots,Sovereignty,Witchblade,Stone of Gaia,Relic Dagger,Breastplate of Valor
Thor,Reinforced Greaves,Stone of Gaia,Runeforged Hammer,Void Shield,Stone of Gaia,Hydra's Lament
Cabrakan,Shoes of Focus,Doom Orb,Stone of Gaia,Typhon's Fang,Emperor's Armor,Winged Blade
